Verify,Finalize,Follow-Up,Session Date,Moved From Facility,Spawning Location,Spawning Location Is Offsite,Spawning Offsite Owner Facility,Spawning Offsite Location Latitude,Spawning Offsite Location Longitude,Spawning Offsite Location Description,Spawning Session Name,Is Import,Is Group Session,Import Custom,Spawning Session Lot #,Cross ID,Spawn ID,Sex,Origin,Origin Expression,Origin Description,Origin Start Date,Origin End Date,Origin Creator,Origin Creation Date,Spawning Ratio,Stock,Stock Agency,Stock Facility,Stock Description,Session Progeny,Brood Year,Spawning Session Comments,Species,Run,Egg Weight(g),Estimated Egg Count,Edit Spawn Cross Notes,Immediate Container,Times Used,Length,Age Calculated,Age Criteria Start Length,Age Criteria End Length,Age Criteria End Date,Age Criteria Start Date,Age Designation,Spawn Status,Living State,Why Not Spawned,Moved From,Moved From Is Offsite,Offsite Moved From Owner Facility,Offsite Moved From Latitude,Offsite Moved From Longitude,Offsite Moved From Location Description,Source Trap Facility,Source Trap,Moved To,Moved To Is Offsite,Offsite Moved To Owner Facility,Offsite Moved To Latitude,Offsite Moved To Longitude,Offsite Moved To Location Description,Moved To Facility,Release Site,Release Site Latitude,Release Site Longitude,Disposition,Purpose,Existing Marks,Existing Marks Quantity,Applied Marks,Applied Marks Quantity,Existing Tags,Applied Tags,Existing CWT,Existing CWT Value,Applied CWT,Applied CWT Value,Existing PIT,Applied PIT,GEN Sample,Samples,Conditions,Notes
FALSE,FALSE,FALSE,8/27/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/27/2025 LGH Spawning Room (Lot #80.25.205), 8:00 AM",FALSE,FALSE,NA,80.25.205,80_25_F8_Lookingglass Egg Room/Tray192,80_25_F8,Female,Uncategorized,NA,NA,NA,NA,NA,NA,2 : 2,Upper Grande Ronde (80H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,3347,NA,Lookingglass Egg Room/Tray192,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedKilled,Killed,NA,LGH Grande Ronde Broodstock Holding,FALSE,NA,NA,NA,NA,CTUIR,Upper Grande Ronde Trap,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,UNC,1,NA,NA,NA,NA,Present,NA,NA,NA,3D6.1534696163,NA,GEN OtsLOOK25S_0820,NA,NA,NA
FALSE,FALSE,FALSE,8/27/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/27/2025 LGH Spawning Room (Lot #80.25.205), 8:00 AM",FALSE,FALSE,NA,80.25.205,80_25_F6_Lookingglass Egg Room/Tray190,80_25_F6,Female,Uncategorized,NA,NA,NA,NA,NA,NA,2 : 2,Upper Grande Ronde (80H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,3347,NA,Lookingglass Egg Room/Tray190,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedKilled,Killed,NA,LGH Grande Ronde Broodstock Holding,FALSE,NA,NA,NA,NA,CTUIR,Upper Grande Ronde Trap,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Present,NA,NA,NA,3D6.1534696042,NA,GEN OtsLOOK25S_0818,NA,NA,6042
FALSE,FALSE,FALSE,8/27/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/27/2025 LGH Spawning Room (Lot #80.25.205), 8:00 AM",FALSE,FALSE,NA,80.25.205,80_25_F3_Lookingglass Egg Room/Tray187,80_25_M4,Male,Uncategorized,NA,NA,NA,NA,NA,NA,2 : 2,Upper Grande Ronde (80H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,3347,NA,Lookingglass Egg Room/Tray187,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedNotKilled,Alive,NA,LGH Grande Ronde Broodstock Holding,FALSE,NA,NA,NA,NA,CTUIR,Upper Grande Ronde Trap,LGH Grande Ronde Broodstock Holding,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Ponded,Brood Stock,UNC,1,NA,NA,NA,NA,Not Present,NA,NA,NA,3D6.1534696038,NA,GEN OtsLOOK25S_0902,NA,NA,6038
FALSE,FALSE,FALSE,8/27/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/27/2025 LGH Spawning Room (Lot #80.25.205), 8:00 AM",FALSE,FALSE,NA,80.25.205,80_25_F4_Lookingglass Egg Room/Tray188,80_25_M4,Male,Uncategorized,NA,NA,NA,NA,NA,NA,2 : 2,Upper Grande Ronde (80H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,3347,NA,Lookingglass Egg Room/Tray188,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedNotKilled,Alive,NA,LGH Grande Ronde Broodstock Holding,FALSE,NA,NA,NA,NA,CTUIR,Upper Grande Ronde Trap,LGH Grande Ronde Broodstock Holding,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Ponded,Brood Stock,UNC,1,NA,NA,NA,NA,Not Present,NA,NA,NA,3D6.1534696038,NA,GEN OtsLOOK25S_0902,NA,NA,6038
FALSE,FALSE,FALSE,8/27/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/27/2025 LGH Spawning Room (Lot #80.25.205), 8:00 AM",FALSE,FALSE,NA,80.25.205,80_25_F3_Lookingglass Egg Room/Tray187,80_25_F3,Female,Uncategorized,NA,NA,NA,NA,NA,NA,2 : 2,Upper Grande Ronde (80H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,3347,NA,Lookingglass Egg Room/Tray187,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedKilled,Killed,NA,LGH Grande Ronde Broodstock Holding,FALSE,NA,NA,NA,NA,CTUIR,Upper Grande Ronde Trap,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Present,NA,NA,NA,3D6.1534696028,NA,GEN OtsLOOK25S_0815,NA,NA,6028
FALSE,FALSE,FALSE,8/27/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/27/2025 LGH Spawning Room (Lot #80.25.205), 8:00 AM",FALSE,FALSE,NA,80.25.205,80_25_F14_Lookingglass Egg Room/Tray198,80_25_M13,Male,Uncategorized,NA,NA,NA,NA,NA,NA,2 : 2,Upper Grande Ronde (80H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,3347,NA,Lookingglass Egg Room/Tray198,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedKilled,Killed,NA,LGH Grande Ronde Broodstock Holding,FALSE,NA,NA,NA,NA,CTUIR,Upper Grande Ronde Trap,CTUIR,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,Education/Research,AD,1,NA,NA,NA,NA,Present,NA,NA,NA,3D6.1534696110,NA,GEN OtsLOOK25S_0805,NA,NA,6110
FALSE,FALSE,FALSE,8/27/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/27/2025 LGH Spawning Room (Lot #80.25.205), 8:00 AM",FALSE,FALSE,NA,80.25.205,80_25_F13_Lookingglass Egg Room/Tray197,80_25_M13,Male,Uncategorized,NA,NA,NA,NA,NA,NA,2 : 2,Upper Grande Ronde (80H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,3347,NA,Lookingglass Egg Room/Tray197,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedKilled,Killed,NA,LGH Grande Ronde Broodstock Holding,FALSE,NA,NA,NA,NA,CTUIR,Upper Grande Ronde Trap,CTUIR,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,Education/Research,AD,1,NA,NA,NA,NA,Present,NA,NA,NA,3D6.1534696110,NA,GEN OtsLOOK25S_0805,NA,NA,6110
FALSE,FALSE,FALSE,8/27/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/27/2025 LGH Spawning Room (Lot #80.25.205), 8:00 AM",FALSE,FALSE,NA,80.25.205,80_25_F13_Lookingglass Egg Room/Tray197,80_25_M14,Male,Uncategorized,NA,NA,NA,NA,NA,NA,2 : 2,Upper Grande Ronde (80H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,3347,NA,Lookingglass Egg Room/Tray197,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedKilled,Killed,NA,LGH Grande Ronde Broodstock Holding,FALSE,NA,NA,NA,NA,CTUIR,Upper Grande Ronde Trap,CTUIR,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,Education/Research,AD,1,NA,NA,NA,NA,Not Present,NA,NA,NA,3D6.153469613C,NA,GEN OtsLOOK25S_0806,NA,NA,613C
FALSE,FALSE,FALSE,8/27/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/27/2025 LGH Spawning Room (Lot #80.25.205), 8:00 AM",FALSE,FALSE,NA,80.25.205,80_25_F14_Lookingglass Egg Room/Tray198,80_25_M14,Male,Uncategorized,NA,NA,NA,NA,NA,NA,2 : 2,Upper Grande Ronde (80H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,3347,NA,Lookingglass Egg Room/Tray198,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedKilled,Killed,NA,LGH Grande Ronde Broodstock Holding,FALSE,NA,NA,NA,NA,CTUIR,Upper Grande Ronde Trap,CTUIR,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,Education/Research,AD,1,NA,NA,NA,NA,Not Present,NA,NA,NA,3D6.153469613C,NA,GEN OtsLOOK25S_0806,NA,NA,613C
FALSE,FALSE,FALSE,8/27/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/27/2025 LGH Spawning Room (Lot #80.25.205), 8:00 AM",FALSE,FALSE,NA,80.25.205,80_25_F7_Lookingglass Egg Room/Tray191,80_25_F7,Female,Uncategorized,NA,NA,NA,NA,NA,NA,2 : 2,Upper Grande Ronde (80H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,3347,NA,Lookingglass Egg Room/Tray191,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedKilled,Killed,NA,LGH Grande Ronde Broodstock Holding,FALSE,NA,NA,NA,NA,CTUIR,Upper Grande Ronde Trap,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Present,NA,NA,NA,3D6.1534695FF8,NA,GEN OtsLOOK25S_0819,NA,NA,NA
