Finalize,Verify,Follow-Up,Trapped Date,Is Import,Facility,Trap,Trap Is Offsite,Trapping Session Name,Target Species,Target Run,Trapping Session Comments,Fish ID,Count,Species,Run,Sex,Origin,Origin Expression,Origin Description,Origin Start Date,Origin End Date,Origin Creator,Origin Creation Date,Living Status,Length,Age Designation,Age Calculated,Age Criteria Start Length,Age Criteria End Length,Age Criteria Start Date,Age Criteria End Date,Moved To Facility,Moved To,Moved To Location Type,Moved To Is Offsite,Offsite Owner Facility,Offsite Location Latitude,Offsite Location Longitude,Offsite Location Description,Disposition,Release Site,Release Site Latitude,Release Site Longitude,Purpose,Existing Marks,Existing Marks Quantity,Applied Marks,Applied Marks Quantity,Existing Tags,Applied Tags,Existing CWT,Existing CWT Value,Applied CWT,Applied CWT Value,Existing PIT,Applied PIT,Samples,Conditions,Recap,Injected,Weight,Notes,Group Notes,Import Custom
FALSE,FALSE,FALSE,3/30/2022,TRUE,Wallowa Fish Hatchery,Wallowa Hatchery Trap,FALSE,Session - 03/30/2022 Wallowa Hatchery Trap 8:00 AM PST,Steelhead,Summer,A stop at F58; B stop at F86,1311,1,Steelhead,Summer,Male,Hatchery,( Existing Adipose Clipped [Mark AD]  or Existing Left Ventral Fin Clipped [Mark LV]  or Existing Right Ventral Fin Clipped [Mark RV]  or Existing Coded Wire Tag [Tag CWT]  ),Hatchery,NA,NA,oregon,7/15/2025,Killed,572,NA,FALSE,NA,NA,NA,NA,Wallowa Fish Hatchery,Landfill,Disposal,FALSE,NA,NA,NA,NA,Disposed,NA,NA,NA,Nutrient Enhancement,"AD, RV","1, 1",NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/1/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/01/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,3,1,Steelhead,Summer,Female,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,628,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 3, SCALE 3",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/1/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/01/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,4,1,Steelhead,Summer,Female,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,670,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 4, SCALE 4",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/1/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/01/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,5,1,Steelhead,Summer,Female,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,749,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 5, SCALE 5",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/1/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/01/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,6,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,620,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 6, SCALE 6",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/1/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/01/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,7,1,Steelhead,Summer,Unknown,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,570,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 7, SCALE 7",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/1/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/01/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,8,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,615,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,3DD.00775EF526,NA,"GEN 8, SCALE 8",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,3/27/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 03/27/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,1,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,640,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 1, SCALE 1",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,3/27/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 03/27/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,2,1,Steelhead,Summer,Female,Hatchery,( Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT]  ),Hatchery,NA,NA,oregon,7/22/2025,Killed,546,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Landfill,Disposal,FALSE,NA,NA,NA,NA,Disposed,NA,NA,NA,Stray Removal,AD,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,"GEN 2, SCALE 2",NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,4/3/2019,FALSE,Lookingglass Fish Hatchery,Lookingglass  Upper Trap,FALSE,Session - 04/03/2019 Lookingglass  Upper Trap 8:00 AM PST,Steelhead,Summer,NA,9,1,Steelhead,Summer,Male,Natural,( Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP]  ),Natural,NA,NA,oregon,7/22/2025,Alive,638,NA,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Lookingglass Creek Upstream,Release Site,FALSE,NA,NA,NA,NA,Released,Lookingglass Creek Upstream,45.75,-117.870002746582,Natural Spawning,UNC,1,ROP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA
